INSTANCIA,PRONOSTICO,TEMPERATURA,HUMEDAD,VIENTO,JUGAR
195,overcast,92,74,TRUE,YES
196,rainy,49,29,FALSE,NO
197,rainy,9,72,FALSE,NO
198,rainy,32,80,TRUE,YES
199,rainy,33,98,TRUE,YES
200,rainy,42,82,TRUE,YES
201,rainy,1,47,TRUE,NO
202,rainy,40,35,FALSE,YES
203,rainy,7,1,FALSE,YES
204,rainy,88,48,TRUE,NO
205,rainy,60,13,FALSE,NO
206,overcast,79,99,FALSE,YES
207,overcast,56,96,FALSE,NO
208,overcast,81,53,FALSE,NO
209,overcast,85,68,TRUE,NO
210,overcast,19,71,TRUE,NO
211,rainy,75,59,FALSE,YES
212,rainy,20,4,FALSE,NO
213,rainy,91,7,TRUE,NO
214,rainy,50,89,TRUE,NO
215,rainy,59,44,FALSE,NO
216,rainy,90,13,FALSE,NO
217,rainy,53,82,FALSE,NO
218,rainy,40,13,FALSE,YES
219,overcast,16,92,TRUE,NO
220,overcast,56,68,TRUE,NO
221,rainy,32,98,FALSE,NO
222,rainy,24,95,FALSE,NO
223,rainy,32,1,TRUE,NO
224,rainy,58,80,FALSE,YES
225,rainy,31,10,FALSE,YES
226,rainy,84,49,TRUE,YES
227,rainy,97,48,TRUE,YES
228,rainy,99,66,FALSE,YES
229,overcast,55,47,FALSE,NO
230,rainy,38,91,TRUE,NO
231,overcast,20,1,FALSE,NO
232,rainy,56,77,TRUE,YES
233,overcast,98,33,TRUE,NO
234,rainy,58,99,TRUE,YES
235,rainy,4,88,FALSE,NO
236,overcast,66,13,FALSE,NO
237,rainy,38,85,TRUE,NO
238,rainy,65,78,FALSE,YES
239,rainy,34,25,FALSE,YES
240,rainy,68,48,FALSE,NO
241,rainy,57,86,FALSE,NO
242,rainy,51,89,FALSE,NO
243,rainy,12,49,TRUE,NO
244,rainy,79,96,FALSE,NO
245,rainy,72,63,FALSE,YES
246,rainy,99,16,TRUE,YES
247,rainy,96,45,FALSE,YES
248,rainy,18,51,FALSE,YES
249,overcast,59,31,FALSE,YES
250,rainy,64,29,FALSE,YES
251,rainy,50,65,TRUE,NO
252,overcast,3,96,FALSE,YES
253,rainy,56,24,TRUE,NO
254,rainy,100,65,TRUE,YES
255,rainy,40,87,FALSE,YES
256,overcast,2,3,TRUE,YES
257,rainy,5,94,FALSE,NO
258,rainy,22,8,TRUE,YES
259,rainy,50,71,FALSE,NO
260,rainy,54,83,FALSE,YES
261,overcast,86,83,FALSE,NO
262,rainy,14,57,FALSE,NO
263,rainy,44,4,TRUE,NO
264,overcast,39,99,TRUE,NO
265,overcast,35,53,FALSE,NO
266,rainy,68,81,FALSE,YES
267,rainy,22,64,FALSE,NO
268,overcast,70,3,TRUE,NO
269,rainy,32,37,TRUE,YES
270,rainy,54,6,FALSE,NO
271,overcast,12,97,TRUE,NO
272,overcast,45,98,TRUE,YES
273,overcast,37,85,FALSE,YES
274,overcast,77,37,FALSE,NO
275,rainy,80,12,FALSE,YES
276,rainy,55,9,TRUE,NO
277,rainy,61,17,TRUE,YES
278,overcast,94,96,TRUE,YES
279,rainy,6,16,TRUE,YES
280,rainy,34,95,FALSE,YES
281,rainy,67,17,TRUE,YES
282,overcast,73,35,TRUE,YES
283,overcast,35,23,TRUE,YES
284,overcast,95,82,TRUE,YES
285,rainy,73,53,TRUE,YES
286,rainy,11,29,TRUE,YES
287,overcast,70,78,FALSE,NO
288,rainy,18,4,FALSE,YES
289,overcast,26,89,TRUE,NO
290,overcast,94,100,TRUE,NO
291,overcast,37,76,FALSE,YES
292,overcast,24,80,FALSE,NO
293,rainy,55,13,TRUE,YES
294,rainy,19,24,TRUE,YES
295,rainy,75,67,FALSE,NO
296,rainy,14,41,FALSE,NO
297,rainy,10,63,TRUE,YES
298,overcast,74,16,TRUE,NO
299,rainy,78,13,TRUE,NO
300,rainy,58,96,TRUE,YES
301,rainy,83,33,FALSE,NO
302,rainy,94,10,TRUE,NO
303,rainy,63,13,FALSE,NO
304,overcast,95,87,TRUE,YES
305,rainy,44,85,TRUE,YES
306,rainy,64,73,FALSE,NO
307,rainy,82,41,TRUE,YES
308,rainy,87,3,TRUE,NO
309,rainy,36,97,TRUE,YES
310,overcast,92,3,TRUE,YES
311,overcast,92,35,FALSE,YES
312,rainy,83,25,TRUE,YES
313,overcast,66,39,TRUE,YES
314,overcast,77,66,FALSE,YES
315,rainy,26,1,FALSE,NO
316,rainy,3,97,FALSE,NO
317,overcast,71,46,TRUE,NO
318,overcast,14,95,FALSE,YES
319,rainy,60,59,TRUE,NO
320,rainy,78,88,TRUE,YES
321,rainy,59,47,TRUE,YES
322,rainy,2,50,TRUE,YES
323,rainy,10,24,TRUE,NO
324,rainy,41,22,FALSE,YES
325,overcast,92,92,TRUE,NO
326,rainy,8,50,TRUE,NO
327,rainy,27,15,FALSE,NO
328,overcast,80,43,TRUE,NO
329,rainy,39,22,TRUE,NO
330,overcast,64,26,FALSE,NO
331,overcast,81,55,TRUE,YES
332,overcast,93,21,TRUE,NO
333,overcast,56,85,TRUE,NO
334,rainy,77,16,FALSE,YES
335,overcast,30,49,FALSE,YES
336,rainy,11,95,FALSE,YES
337,overcast,77,24,FALSE,YES
338,rainy,93,46,FALSE,NO
339,overcast,96,45,FALSE,NO
340,rainy,53,7,FALSE,YES
341,rainy,97,18,FALSE,NO
342,rainy,97,5,TRUE,NO
343,rainy,90,23,FALSE,NO
344,rainy,100,11,TRUE,NO
345,overcast,93,40,FALSE,NO
346,rainy,79,8,TRUE,NO
347,rainy,95,53,TRUE,YES
348,rainy,44,63,FALSE,YES
349,rainy,20,15,FALSE,YES
350,overcast,56,54,TRUE,YES
351,overcast,81,52,FALSE,NO
352,rainy,51,57,TRUE,YES
353,rainy,98,6,TRUE,NO
354,overcast,56,91,FALSE,YES
355,overcast,90,3,TRUE,NO
356,rainy,58,15,TRUE,YES
357,overcast,12,62,FALSE,NO
358,overcast,29,57,FALSE,YES
359,rainy,30,87,TRUE,NO
360,overcast,44,68,FALSE,NO
361,overcast,6,6,TRUE,NO
362,overcast,43,32,TRUE,NO
363,overcast,22,88,TRUE,NO
364,overcast,10,42,TRUE,NO
365,rainy,44,52,FALSE,YES
366,overcast,80,34,TRUE,YES
367,rainy,80,40,FALSE,NO
368,rainy,26,42,FALSE,YES
369,overcast,55,4,FALSE,NO
370,rainy,68,36,FALSE,YES
371,overcast,79,31,TRUE,NO
372,rainy,89,9,TRUE,YES
373,rainy,1,85,FALSE,YES
374,rainy,30,42,TRUE,NO
375,overcast,52,63,FALSE,NO
376,rainy,68,7,TRUE,YES
377,rainy,29,52,FALSE,YES
378,rainy,73,41,FALSE,NO
379,overcast,10,72,FALSE,NO
380,rainy,74,64,TRUE,NO
381,rainy,35,36,TRUE,YES
382,rainy,31,28,FALSE,YES
383,overcast,84,43,FALSE,YES
384,overcast,98,22,FALSE,YES
385,rainy,34,15,FALSE,NO
386,rainy,19,19,FALSE,NO
387,overcast,69,46,TRUE,NO
388,overcast,56,48,FALSE,YES
389,overcast,67,89,TRUE,YES
390,rainy,56,59,TRUE,YES
391,rainy,17,54,FALSE,YES
392,rainy,1,10,TRUE,YES
393,rainy,47,21,TRUE,YES
394,rainy,92,91,FALSE,NO
395,overcast,13,69,TRUE,YES
396,rainy,57,52,FALSE,YES
397,rainy,45,34,TRUE,YES
398,overcast,59,72,TRUE,YES
399,rainy,53,21,FALSE,NO
400,overcast,65,38,FALSE,NO
401,rainy,20,10,FALSE,NO
402,rainy,80,97,FALSE,YES
403,overcast,18,5,FALSE,YES
404,rainy,35,4,FALSE,YES
405,rainy,20,42,FALSE,NO
406,overcast,5,52,FALSE,YES
407,rainy,97,66,TRUE,YES
408,rainy,17,100,FALSE,NO
409,rainy,100,75,TRUE,YES
410,rainy,19,65,FALSE,NO
411,rainy,11,75,TRUE,NO
412,rainy,22,61,FALSE,YES
413,rainy,76,37,TRUE,YES
414,overcast,43,21,FALSE,YES
415,rainy,22,47,FALSE,NO
416,rainy,88,56,TRUE,YES
417,rainy,81,48,FALSE,YES
418,rainy,99,91,TRUE,YES
419,rainy,24,47,FALSE,YES
420,rainy,73,15,FALSE,YES
421,rainy,67,25,FALSE,YES
422,rainy,83,89,TRUE,NO
423,rainy,67,17,FALSE,YES
424,overcast,100,40,FALSE,YES
425,overcast,73,77,FALSE,YES
426,overcast,88,45,FALSE,YES
427,rainy,63,6,FALSE,YES
428,rainy,52,88,FALSE,NO
429,overcast,88,71,TRUE,YES
430,rainy,33,10,TRUE,NO
431,rainy,44,21,TRUE,NO
432,rainy,25,31,FALSE,NO
433,rainy,37,60,FALSE,YES
434,overcast,56,24,TRUE,YES
435,rainy,72,68,TRUE,YES
436,rainy,47,2,TRUE,NO
437,rainy,84,37,FALSE,YES
438,rainy,20,31,TRUE,NO
439,rainy,9,57,TRUE,YES
440,rainy,88,62,FALSE,NO
441,overcast,35,86,FALSE,NO
442,rainy,94,64,FALSE,YES
443,rainy,97,79,TRUE,YES
444,rainy,54,85,TRUE,YES
445,overcast,97,37,TRUE,NO
446,rainy,71,16,FALSE,YES
447,overcast,22,12,TRUE,NO
448,rainy,52,27,TRUE,NO
449,overcast,38,57,FALSE,NO
450,rainy,46,45,FALSE,NO
451,rainy,82,31,TRUE,YES
452,rainy,80,36,FALSE,NO
453,rainy,65,98,TRUE,YES
454,rainy,55,32,FALSE,YES
455,overcast,41,56,TRUE,YES
456,rainy,77,29,FALSE,YES
457,rainy,84,92,TRUE,NO
458,rainy,64,94,FALSE,YES
459,overcast,71,80,TRUE,NO
460,rainy,96,79,TRUE,NO
461,rainy,37,14,FALSE,YES
462,rainy,65,94,FALSE,YES
463,rainy,21,50,FALSE,NO
464,rainy,5,69,TRUE,NO
465,overcast,69,54,FALSE,NO
466,overcast,47,34,TRUE,YES
467,rainy,74,51,TRUE,YES
468,overcast,89,97,TRUE,NO
469,rainy,84,75,FALSE,YES
470,overcast,62,10,FALSE,NO
471,rainy,8,15,FALSE,NO
472,rainy,49,14,FALSE,NO
473,rainy,4,40,TRUE,YES
474,overcast,42,76,FALSE,YES
475,rainy,67,94,TRUE,YES
476,overcast,48,56,FALSE,NO
477,rainy,97,59,TRUE,YES
478,overcast,49,76,FALSE,NO
479,rainy,98,96,FALSE,YES
480,rainy,24,58,FALSE,YES
481,rainy,69,55,TRUE,NO
482,overcast,14,46,TRUE,YES
483,rainy,24,34,FALSE,NO
484,rainy,89,10,FALSE,YES
485,rainy,48,52,TRUE,NO
486,rainy,31,33,FALSE,NO
487,overcast,23,46,TRUE,YES
488,rainy,26,80,FALSE,YES
489,overcast,11,61,FALSE,YES
490,rainy,88,90,TRUE,NO
491,overcast,93,39,TRUE,YES
492,rainy,42,69,TRUE,YES
493,rainy,75,51,TRUE,YES
494,rainy,25,11,FALSE,YES
495,overcast,33,63,FALSE,YES
496,rainy,3,14,FALSE,NO
497,overcast,51,6,FALSE,NO
498,rainy,93,55,TRUE,YES
499,rainy,75,92,TRUE,YES
500,rainy,19,63,FALSE,NO
501,overcast,3,85,FALSE,NO
502,rainy,43,56,FALSE,YES
503,overcast,48,62,FALSE,YES
504,overcast,72,57,TRUE,NO
505,rainy,5,88,TRUE,NO
506,rainy,17,46,FALSE,NO
507,rainy,9,68,FALSE,NO
508,rainy,29,8,FALSE,NO
509,rainy,32,55,FALSE,YES
510,rainy,99,96,TRUE,YES
511,rainy,73,89,TRUE,NO
512,rainy,19,7,TRUE,YES
513,rainy,96,19,TRUE,NO
514,rainy,39,51,FALSE,YES
515,rainy,83,88,FALSE,YES
516,rainy,86,8,TRUE,YES
517,rainy,36,8,TRUE,YES
518,rainy,74,72,FALSE,YES
519,rainy,51,20,TRUE,YES
520,rainy,90,5,TRUE,NO
521,rainy,64,29,TRUE,NO
522,overcast,88,45,TRUE,NO
523,rainy,82,18,TRUE,YES
524,rainy,84,71,FALSE,NO
525,overcast,35,6,TRUE,NO
526,rainy,90,16,TRUE,YES
527,rainy,85,16,TRUE,NO
528,rainy,41,6,TRUE,YES
529,rainy,98,98,TRUE,NO
530,rainy,48,90,TRUE,YES
531,rainy,71,84,FALSE,YES
532,overcast,50,24,TRUE,NO
533,overcast,21,4,TRUE,NO
534,rainy,74,13,TRUE,NO
535,overcast,31,73,FALSE,NO
536,rainy,5,93,FALSE,NO
537,rainy,66,43,TRUE,YES
538,rainy,37,54,TRUE,NO
539,overcast,83,9,TRUE,YES
540,rainy,34,7,FALSE,NO
541,overcast,79,43,FALSE,YES
542,rainy,46,71,TRUE,YES
543,rainy,26,47,FALSE,NO
544,rainy,21,6,TRUE,NO
545,overcast,56,6,FALSE,YES
546,overcast,52,2,TRUE,NO
547,overcast,89,34,TRUE,YES
548,rainy,19,49,FALSE,NO
549,rainy,65,80,TRUE,NO
550,rainy,92,57,TRUE,NO
551,rainy,8,54,TRUE,YES
552,rainy,71,76,TRUE,YES
553,rainy,27,36,FALSE,NO
554,rainy,49,87,TRUE,YES
555,rainy,14,67,FALSE,NO
556,overcast,71,2,TRUE,NO
557,rainy,76,46,FALSE,YES
558,overcast,45,65,FALSE,YES
559,overcast,32,56,TRUE,NO
560,rainy,96,49,TRUE,YES
561,overcast,88,17,TRUE,NO
562,rainy,90,98,TRUE,NO
563,rainy,81,78,TRUE,YES
564,rainy,6,31,TRUE,YES
565,rainy,70,54,TRUE,YES
566,rainy,7,80,TRUE,NO
567,overcast,41,80,FALSE,NO
568,rainy,4,32,FALSE,NO
569,rainy,46,98,FALSE,YES
570,rainy,76,63,FALSE,YES
571,rainy,7,44,FALSE,NO
572,rainy,47,2,FALSE,YES
573,rainy,98,51,FALSE,NO
574,rainy,90,55,FALSE,NO
575,rainy,31,36,FALSE,YES
576,rainy,70,86,FALSE,YES
577,overcast,45,93,FALSE,NO
578,overcast,25,72,TRUE,YES
579,overcast,76,58,FALSE,NO
580,overcast,84,88,TRUE,NO
581,rainy,49,35,TRUE,NO
582,rainy,24,90,TRUE,NO
583,rainy,9,45,TRUE,NO
584,rainy,13,94,TRUE,NO
585,overcast,55,24,TRUE,YES
586,rainy,12,18,FALSE,YES
587,rainy,84,16,FALSE,NO
588,rainy,47,57,TRUE,NO
589,overcast,2,31,TRUE,NO
590,rainy,88,14,TRUE,YES
591,rainy,33,11,FALSE,YES
592,overcast,33,24,FALSE,YES
593,rainy,31,89,TRUE,YES
594,overcast,23,68,FALSE,NO
595,overcast,10,24,FALSE,NO
596,overcast,97,55,TRUE,YES
597,rainy,44,8,TRUE,YES
598,overcast,32,53,FALSE,YES
599,rainy,64,31,TRUE,YES
600,overcast,55,22,TRUE,NO
601,rainy,33,7,TRUE,YES
602,rainy,50,35,TRUE,NO
603,rainy,13,14,TRUE,YES
604,overcast,98,71,TRUE,NO
605,rainy,58,79,TRUE,YES
606,rainy,67,39,FALSE,NO
607,rainy,48,98,TRUE,NO
608,rainy,89,36,TRUE,NO
609,overcast,48,58,FALSE,NO
610,overcast,48,48,TRUE,NO
611,rainy,59,68,FALSE,NO
612,rainy,71,27,TRUE,NO
613,overcast,77,8,FALSE,NO
614,rainy,68,95,TRUE,YES
615,overcast,60,17,TRUE,NO
616,rainy,8,50,TRUE,YES
617,overcast,28,63,FALSE,NO
618,rainy,52,87,TRUE,YES
619,overcast,46,81,TRUE,YES
620,rainy,84,39,TRUE,YES
621,rainy,51,3,TRUE,NO
622,rainy,38,86,FALSE,YES
623,overcast,31,70,TRUE,YES
624,rainy,11,18,TRUE,YES
625,rainy,70,73,FALSE,NO
626,rainy,90,90,FALSE,YES
627,rainy,45,22,TRUE,YES
628,overcast,42,61,FALSE,YES
629,rainy,95,23,FALSE,YES
630,overcast,22,85,FALSE,NO
631,rainy,86,13,FALSE,NO
632,rainy,18,40,TRUE,YES
633,rainy,40,45,FALSE,YES
634,overcast,12,7,FALSE,YES
635,overcast,87,22,TRUE,NO
636,rainy,79,83,FALSE,YES
637,overcast,5,65,FALSE,YES
638,rainy,88,49,FALSE,YES
639,rainy,27,60,TRUE,NO
640,rainy,55,43,FALSE,NO
641,rainy,71,81,TRUE,YES
642,rainy,51,53,FALSE,YES
643,overcast,19,26,TRUE,NO
644,overcast,44,20,TRUE,YES
645,overcast,10,33,TRUE,YES
646,overcast,2,62,TRUE,NO
647,rainy,63,1,TRUE,NO
648,overcast,29,71,TRUE,YES
649,rainy,52,80,TRUE,YES
650,rainy,64,48,TRUE,YES
651,overcast,85,54,TRUE,YES
652,rainy,81,35,FALSE,NO
653,rainy,55,95,TRUE,YES
654,overcast,80,9,TRUE,YES
655,overcast,91,31,TRUE,YES
656,rainy,28,4,TRUE,YES
657,overcast,83,83,FALSE,NO
658,rainy,90,9,FALSE,NO
659,overcast,46,17,TRUE,YES
660,rainy,11,92,TRUE,YES
661,rainy,23,54,FALSE,NO
662,rainy,4,63,TRUE,NO
663,rainy,56,26,FALSE,NO
664,rainy,78,79,FALSE,YES
665,rainy,5,83,TRUE,NO
666,rainy,3,80,TRUE,NO
667,rainy,78,79,FALSE,YES
668,rainy,98,26,TRUE,YES
669,rainy,51,75,FALSE,YES
670,rainy,4,63,FALSE,NO
671,overcast,80,39,FALSE,NO
672,rainy,64,48,FALSE,NO
673,overcast,98,8,TRUE,YES
674,rainy,9,29,TRUE,YES
675,overcast,25,62,TRUE,NO
676,overcast,58,1,FALSE,YES
677,rainy,89,96,FALSE,NO
678,overcast,36,44,FALSE,NO
679,rainy,54,16,TRUE,NO
680,overcast,77,31,FALSE,YES
681,overcast,56,96,TRUE,NO
682,overcast,12,19,TRUE,YES
683,overcast,43,8,TRUE,NO
684,overcast,42,4,FALSE,YES
685,overcast,98,22,TRUE,YES
686,rainy,13,66,TRUE,NO
687,rainy,30,73,FALSE,NO
688,overcast,22,61,FALSE,YES
689,rainy,81,28,TRUE,NO
690,rainy,26,15,TRUE,YES
691,rainy,67,29,FALSE,YES
692,overcast,25,33,FALSE,YES
693,rainy,38,66,TRUE,YES
694,rainy,49,89,FALSE,YES
695,rainy,41,54,FALSE,YES
696,overcast,99,18,TRUE,NO
697,overcast,81,45,FALSE,NO
698,overcast,53,69,TRUE,YES
699,rainy,63,65,TRUE,NO
700,overcast,94,77,TRUE,YES
701,rainy,54,69,FALSE,NO
702,rainy,37,9,FALSE,NO
703,rainy,32,22,TRUE,YES
704,rainy,8,34,FALSE,YES
705,rainy,12,62,TRUE,NO
706,overcast,76,2,FALSE,YES
707,rainy,64,27,TRUE,NO
708,rainy,3,19,FALSE,YES
709,rainy,83,23,TRUE,YES
710,overcast,63,25,TRUE,YES
711,rainy,69,54,FALSE,YES
712,rainy,54,91,TRUE,NO
713,overcast,98,8,TRUE,YES
714,rainy,26,72,TRUE,NO
715,rainy,65,99,FALSE,YES
716,rainy,1,31,TRUE,NO
717,rainy,96,86,TRUE,YES
718,rainy,32,78,TRUE,YES
719,rainy,3,74,TRUE,YES
720,rainy,3,11,TRUE,NO
721,rainy,93,86,TRUE,NO
722,overcast,45,95,FALSE,YES
723,rainy,46,24,FALSE,YES
724,overcast,38,78,FALSE,NO
725,rainy,14,44,TRUE,NO
726,rainy,13,81,FALSE,YES
727,rainy,70,11,TRUE,YES
728,overcast,28,75,TRUE,NO
729,overcast,30,66,TRUE,NO
730,overcast,93,20,TRUE,YES
731,rainy,19,34,TRUE,YES
732,rainy,91,22,TRUE,NO
733,rainy,16,94,TRUE,NO
734,rainy,19,61,FALSE,NO
735,rainy,70,28,TRUE,NO
736,rainy,31,60,TRUE,NO
737,overcast,18,46,TRUE,YES
738,rainy,19,2,TRUE,NO
739,rainy,20,50,FALSE,YES
740,overcast,55,22,TRUE,NO
741,overcast,9,13,TRUE,NO
742,rainy,1,91,TRUE,YES
743,rainy,23,91,TRUE,YES
744,overcast,51,22,TRUE,NO
745,rainy,44,46,FALSE,NO
746,rainy,36,75,FALSE,YES
747,rainy,60,61,FALSE,NO
748,rainy,70,80,FALSE,NO
749,rainy,57,88,FALSE,NO
750,rainy,7,88,TRUE,YES
751,overcast,33,90,TRUE,NO
752,rainy,46,43,FALSE,NO
753,rainy,98,77,TRUE,NO
754,rainy,77,63,TRUE,YES
755,rainy,42,36,TRUE,YES
756,rainy,4,95,TRUE,NO
757,overcast,72,86,TRUE,NO
758,rainy,20,66,TRUE,YES
759,rainy,54,67,TRUE,NO
760,rainy,64,47,FALSE,NO
761,overcast,80,11,FALSE,NO
762,overcast,17,63,TRUE,YES
763,overcast,1,72,FALSE,NO
764,overcast,47,3,TRUE,NO
765,rainy,64,89,FALSE,NO
766,overcast,61,91,TRUE,YES
767,overcast,98,34,FALSE,NO
768,overcast,99,67,TRUE,NO
769,rainy,22,25,FALSE,YES
770,rainy,22,79,FALSE,NO
771,rainy,36,93,FALSE,NO
772,rainy,88,31,FALSE,YES
