PRONOSTICO,TEMPERATURA,VIENTO,JUGAR
rainy,1.8626236764114683,FALSO,no
rainy,1.8626236764114683,VERDADERO,no
sunny,1.5814937453740778,FALSO,no
sunny,1.98310793257035,VERDADERO,no
overcast,1.7019780015329595,FALSO,no
rainy,1.1397181394581784,VERDADERO,no
rainy,1.7823008389722139,VERDADERO,yes
sunny,-0.26593151572877427,FALSO,yes
sunny,-1.2298055649998276,FALSO,yes
overcast,0.21600550890675235,VERDADERO,yes
overcast,1.220040976897433,FALSO,no
rainy,0.015198415308616252,VERDADERO,yes
sunny,1.9027850951310956,VERDADERO,no
overcast,0.21600550890675235,FALSO,yes
overcast,1.5814937453740778,VERDADERO,no
rainy,0.2963283463460068,VERDADERO,yes
overcast,-1.5510969147568454,FALSO,no
overcast,-0.86835279652318265,FALSO,yes
sunny,-0.82819137780355534,VERDADERO,no
overcast,-0.26593151572877427,FALSO,no
overcast,-1.7920654270746086,VERDADERO,no
overcast,-0.30609293444840152,VERDADERO,no
overcast,-1.1494827275605732,VERDADERO,no
overcast,-1.6314197521960998,VERDADERO,no
rainy,-0.26593151572877427,FALSO,yes
overcast,1.1798795581778057,VERDADERO,yes
rainy,1.1798795581778057,FALSO,no
rainy,-0.98883705268206423,FALSO,yes
overcast,0.17584409018712513,FALSO,no
rainy,0.697942533542279,FALSO,yes
overcast,1.1397181394581784,VERDADERO,no
rainy,1.5413323266544508,VERDADERO,yes
sunny,-1.9928725206727447,FALSO,yes
rainy,-0.82819137780355534,VERDADERO,no
overcast,0.055359834028243474,FALSO,no
rainy,0.697942533542279,VERDADERO,yes
rainy,-0.86835279652318265,FALSO,yes
rainy,0.89874962714041506,FALSO,no
overcast,-1.6314197521960998,FALSO,no
sunny,0.93891104586004237,VERDADERO,no
sunny,-0.62738428420541925,VERDADERO,yes
sunny,-0.78802995908392814,FALSO,yes
overcast,1.3405252330563144,FALSO,yes
overcast,1.9027850951310956,FALSO,yes
rainy,-0.66754570292504645,FALSO,no
sunny,-1.2699669837194547,FALSO,no
overcast,0.73810395226190617,VERDADERO,no
overcast,0.21600550890675235,FALSO,yes
overcast,0.65778111482265178,VERDADERO,yes
sunny,0.21600550890675235,VERDADERO,yes
sunny,-1.3502898211587093,FALSO,yes
rainy,-1.9928725206727447,VERDADERO,yes
rainy,-0.14544725956989263,VERDADERO,yes
sunny,1.6618165828133322,FALSO,no
overcast,-1.5109354960372181,VERDADERO,yes
sunny,0.2561669276263796,FALSO,yes
rainy,-0.22577009700914708,VERDADERO,yes
overcast,0.336489765065634,VERDADERO,yes
sunny,0.0955212527478707,FALSO,no
overcast,0.57745827738339739,FALSO,no
rainy,-1.2298055649998276,FALSO,no
sunny,1.1798795581778057,FALSO,yes
overcast,-1.310128402439082,FALSO,yes
rainy,-0.62738428420541925,FALSO,yes
rainy,-1.2298055649998276,FALSO,no
overcast,-1.8322268457942359,FALSO,yes
rainy,1.8626236764114683,VERDADERO,yes
rainy,-1.3502898211587093,FALSO,no
sunny,1.98310793257035,VERDADERO,yes
rainy,-1.2699669837194547,FALSO,no
sunny,-1.5912583334764725,VERDADERO,no
rainy,-1.1494827275605732,FALSO,yes
sunny,1.0192338832992969,VERDADERO,yes
overcast,-0.30609293444840152,FALSO,yes
rainy,-1.1494827275605732,FALSO,no
rainy,1.5011709079348234,VERDADERO,yes
sunny,1.220040976897433,FALSO,yes
rainy,1.9429465138507229,VERDADERO,yes
rainy,-1.0691598901213186,FALSO,yes
sunny,0.89874962714041506,FALSO,yes
sunny,0.65778111482265178,FALSO,yes
rainy,1.3003638143366874,VERDADERO,no
sunny,0.65778111482265178,FALSO,yes
overcast,1.98310793257035,FALSO,yes
overcast,0.89874962714041506,FALSO,yes
overcast,1.5011709079348234,FALSO,yes
rainy,0.49713543994414289,FALSO,yes
rainy,0.055359834028243474,FALSO,no
overcast,1.5011709079348234,VERDADERO,yes
sunny,-0.70770712164467375,VERDADERO,no
sunny,-0.26593151572877427,VERDADERO,no
sunny,-1.0289984714016915,FALSO,no
sunny,-0.54706144676616486,FALSO,yes
overcast,0.21600550890675235,VERDADERO,yes
rainy,0.85858820842078787,VERDADERO,yes
rainy,-0.14544725956989263,VERDADERO,no
rainy,1.3405252330563144,FALSO,yes
sunny,-1.2298055649998276,VERDADERO,no
sunny,-1.6715811709157271,VERDADERO,yes
rainy,1.5011709079348234,FALSO,no
overcast,-0.62738428420541925,FALSO,no
rainy,1.7421394202525868,FALSO,yes
sunny,1.8626236764114683,VERDADERO,yes
rainy,0.13568267146749791,VERDADERO,yes
overcast,1.8626236764114683,VERDADERO,no
sunny,0.81842678970116067,FALSO,yes
overcast,-1.1494827275605732,VERDADERO,no
sunny,0.055359834028243474,VERDADERO,no
overcast,-0.50690002804653767,FALSO,no
rainy,-0.18560867828951985,FALSO,no
rainy,1.26020239561706,VERDADERO,yes
rainy,1.1798795581778057,FALSO,no
rainy,0.57745827738339739,VERDADERO,yes
sunny,0.17584409018712513,FALSO,yes
overcast,-0.38641577188765597,VERDADERO,yes
sunny,1.059395302018924,FALSO,yes
rainy,1.3405252330563144,VERDADERO,no
rainy,0.53729685866377008,FALSO,yes
overcast,0.81842678970116067,VERDADERO,no
rainy,1.8224622576918412,VERDADERO,no
rainy,-0.54706144676616486,FALSO,yes
rainy,0.57745827738339739,FALSO,yes
rainy,-1.1896441462802003,FALSO,no
sunny,-1.8322268457942359,VERDADERO,no
overcast,0.73810395226190617,FALSO,no
overcast,-0.14544725956989263,VERDADERO,yes
rainy,0.93891104586004237,VERDADERO,yes
overcast,1.5413323266544508,VERDADERO,no
sunny,1.3405252330563144,FALSO,yes
overcast,0.45697402122451569,FALSO,no
rainy,-1.7117425896353542,FALSO,no
sunny,-0.0651244221306382,FALSO,no
sunny,-1.8723882645138632,VERDADERO,yes
overcast,-0.34625435316802872,FALSO,yes
sunny,0.65778111482265178,VERDADERO,yes
overcast,-0.10528584085026541,FALSO,no
rainy,1.8626236764114683,VERDADERO,yes
overcast,-0.0651244221306382,FALSO,no
sunny,1.9027850951310956,FALSO,yes
sunny,-1.0691598901213186,FALSO,yes
sunny,0.73810395226190617,VERDADERO,no
overcast,-1.4707740773175908,VERDADERO,yes
rainy,-1.0691598901213186,FALSO,no
rainy,1.5413323266544508,FALSO,yes
sunny,-0.10528584085026541,VERDADERO,no
sunny,-0.78802995908392814,FALSO,no
overcast,-1.1093213088409459,VERDADERO,yes
sunny,-0.98883705268206423,FALSO,yes
overcast,-1.5912583334764725,FALSO,yes
rainy,1.5011709079348234,VERDADERO,no
overcast,1.7019780015329595,VERDADERO,yes
rainy,-0.34625435316802872,VERDADERO,yes
sunny,0.97907246457966957,VERDADERO,yes
sunny,-1.0289984714016915,FALSO,yes
overcast,-0.70770712164467375,FALSO,yes
rainy,-1.9125496832334903,FALSO,no
overcast,0.015198415308616252,FALSO,no
sunny,1.7019780015329595,VERDADERO,yes
sunny,0.97907246457966957,VERDADERO,yes
rainy,-1.2699669837194547,FALSO,no
overcast,-1.9125496832334903,FALSO,no
rainy,-0.30609293444840152,FALSO,yes
overcast,-0.10528584085026541,FALSO,yes
overcast,0.85858820842078787,VERDADERO,no
sunny,-1.8322268457942359,VERDADERO,no
rainy,-1.3502898211587093,FALSO,no
rainy,-1.6715811709157271,FALSO,no
rainy,-0.86835279652318265,FALSO,no
sunny,-0.747868540364301,FALSO,yes
rainy,1.9429465138507229,VERDADERO,yes
rainy,0.89874962714041506,VERDADERO,no
rainy,-1.2699669837194547,VERDADERO,yes
rainy,1.8224622576918412,VERDADERO,no
sunny,-0.46673860932691041,FALSO,yes
sunny,1.3003638143366874,FALSO,yes
rainy,1.4208480704955691,VERDADERO,yes
sunny,-0.58722286548579206,VERDADERO,yes
rainy,0.93891104586004237,FALSO,yes
rainy,0.015198415308616252,VERDADERO,yes
sunny,1.5814937453740778,VERDADERO,no
sunny,0.53729685866377008,VERDADERO,no
overcast,1.5011709079348234,VERDADERO,no
sunny,1.26020239561706,VERDADERO,yes
sunny,1.3405252330563144,FALSO,no
overcast,-0.62738428420541925,VERDADERO,no
rainy,1.5814937453740778,VERDADERO,yes
rainy,1.3806866517759417,VERDADERO,no
sunny,-0.38641577188765597,VERDADERO,yes
sunny,1.9027850951310956,VERDADERO,no
rainy,-0.10528584085026541,VERDADERO,yes
rainy,0.81842678970116067,FALSO,yes
overcast,-0.024963003411010969,VERDADERO,no
overcast,-1.1896441462802003,VERDADERO,no
rainy,0.93891104586004237,VERDADERO,no
overcast,-0.78802995908392814,FALSO,no
sunny,-1.8322268457942359,FALSO,no
rainy,0.61761969610302458,VERDADERO,yes
rainy,-0.54706144676616486,VERDADERO,no
overcast,1.3003638143366874,VERDADERO,yes
sunny,-0.66754570292504645,FALSO,no
overcast,1.1397181394581784,FALSO,yes
sunny,-0.18560867828951985,VERDADERO,yes
sunny,-0.98883705268206423,FALSO,no
sunny,-1.1896441462802003,VERDADERO,no
overcast,0.21600550890675235,FALSO,yes
overcast,0.055359834028243474,VERDADERO,no
overcast,1.5413323266544508,VERDADERO,yes
sunny,-1.2699669837194547,FALSO,no
rainy,0.57745827738339739,VERDADERO,no
sunny,1.6618165828133322,VERDADERO,no
sunny,-1.7117425896353542,VERDADERO,yes
sunny,0.81842678970116067,VERDADERO,yes
rainy,-0.948675633962437,FALSO,no
sunny,-0.0651244221306382,VERDADERO,yes
rainy,-1.4707740773175908,FALSO,no
overcast,0.81842678970116067,VERDADERO,no
rainy,1.0192338832992969,FALSO,yes
overcast,-0.22577009700914708,FALSO,yes
overcast,-0.747868540364301,VERDADERO,no
rainy,1.8224622576918412,VERDADERO,yes
overcast,1.5011709079348234,VERDADERO,no
rainy,1.5814937453740778,VERDADERO,no
sunny,1.220040976897433,VERDADERO,yes
sunny,-1.7920654270746086,VERDADERO,yes
sunny,0.77826537098153348,VERDADERO,yes
rainy,-1.7519040083549815,VERDADERO,no
overcast,-0.38641577188765597,FALSO,no
rainy,-1.8723882645138632,FALSO,no
rainy,-0.18560867828951985,FALSO,yes
sunny,1.0192338832992969,FALSO,yes
rainy,-1.7519040083549815,FALSO,no
rainy,-0.14544725956989263,FALSO,yes
sunny,1.9027850951310956,FALSO,no
sunny,1.5814937453740778,FALSO,no
rainy,-0.78802995908392814,FALSO,yes
rainy,0.77826537098153348,FALSO,yes
overcast,-0.22577009700914708,FALSO,no
overcast,-1.0289984714016915,VERDADERO,yes
overcast,1.0192338832992969,FALSO,no
overcast,1.3405252330563144,VERDADERO,no
rainy,-0.0651244221306382,VERDADERO,no
rainy,-1.0691598901213186,VERDADERO,no
rainy,-1.6715811709157271,VERDADERO,no
rainy,-1.5109354960372181,VERDADERO,no
overcast,0.17584409018712513,VERDADERO,yes
sunny,-1.5510969147568454,FALSO,yes
rainy,1.3405252330563144,FALSO,no
rainy,-0.14544725956989263,VERDADERO,no
overcast,-1.9527111019531176,VERDADERO,no
rainy,1.5011709079348234,VERDADERO,yes
rainy,-0.70770712164467375,FALSO,yes
overcast,-0.70770712164467375,FALSO,yes
sunny,-0.78802995908392814,VERDADERO,yes
overcast,-1.1093213088409459,FALSO,no
overcast,-1.6314197521960998,FALSO,no
overcast,1.8626236764114683,VERDADERO,yes
rainy,-0.26593151572877427,VERDADERO,yes
overcast,-0.747868540364301,FALSO,yes
sunny,0.53729685866377008,VERDADERO,yes
overcast,0.17584409018712513,VERDADERO,no
rainy,-0.70770712164467375,VERDADERO,yes
rainy,-0.024963003411010969,VERDADERO,no
rainy,-1.5109354960372181,VERDADERO,yes
overcast,1.9027850951310956,VERDADERO,no
sunny,0.2963283463460068,VERDADERO,yes
sunny,0.65778111482265178,FALSO,no
rainy,-0.10528584085026541,VERDADERO,no
rainy,1.5413323266544508,VERDADERO,no
overcast,-0.10528584085026541,FALSO,no
overcast,-0.10528584085026541,VERDADERO,no
sunny,0.336489765065634,FALSO,no
sunny,0.81842678970116067,VERDADERO,no
overcast,1.059395302018924,FALSO,no
rainy,0.697942533542279,VERDADERO,yes
overcast,0.37665118378526125,VERDADERO,no
sunny,-1.7117425896353542,VERDADERO,yes
overcast,-0.90851421524280984,FALSO,no
sunny,0.055359834028243474,VERDADERO,yes
overcast,-0.18560867828951985,VERDADERO,yes
sunny,1.3405252330563144,VERDADERO,yes
rainy,0.015198415308616252,VERDADERO,no
rainy,-0.50690002804653767,FALSO,yes
overcast,-0.78802995908392814,VERDADERO,yes
sunny,-1.5912583334764725,VERDADERO,yes
sunny,0.77826537098153348,FALSO,no
sunny,1.5814937453740778,FALSO,yes
rainy,-0.22577009700914708,VERDADERO,yes
overcast,-0.34625435316802872,FALSO,yes
sunny,1.7823008389722139,FALSO,yes
overcast,-1.1494827275605732,FALSO,no
rainy,1.4208480704955691,FALSO,no
sunny,-1.310128402439082,VERDADERO,yes
sunny,-0.42657719060728316,FALSO,yes
overcast,-1.5510969147568454,FALSO,yes
overcast,1.4610094892151961,VERDADERO,no
rainy,1.1397181394581784,FALSO,yes
