NIVEL,CLAVE DE LA ESCUELA,TURNO,ALUMNOS PROGRAMADOS PRUEBA,PORCENTAJE DE EVALUADOS LENGUAJE Y COMUNICACION,PORCENTAJE DE EVALUADOS MATEMATICAS,LA PRUEBA ES REPRESENTATIVA LEGUAJE Y COMUNICACION,LA PRUEBA ES REPRESENTATIVA  MATEMATICAS,INFORMACION POCO CONFIABLE LENGUAJE Y COMUNICACIÓN,INFORMACION POCO CONFIABLE MATEMATICAS,NIVEL I LENGUAJE Y COMUNICACION (%),NIVEL II LENGUAJE Y COMUNICACION (%),NIVEL III LENGUAJE Y COMUNICACION (%),NIVEL IV LENGUAJE Y COMUNICACION (%),NIVEL PREDOMINANTE LENGUAJE Y COMUNICACION ,NIVEL I MATEMATICAS (%),NIVEL II MATEMATICAS (%),NIVEL III MATEMATICAS (%),NIVEL IV MATEMATICAS (%),NIVEL PREDOMINANTE MATEMATICAS
PRIMARIA,14DPB0014B,COMPLETO,35,97.1,97.1,SI,SI,NO,NO,88.2,11.8,,, I ,85.3,14.7,,,I
PRIMARIA,14DPB0016Z,COMPLETO,17,88.2,88.2,SI,SI,SI,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0017Z,COMPLETO,5,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0018Y,COMPLETO,14,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0019X,COMPLETO,7,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0020M,COMPLETO,8,100,100,SI,SI,NO,NO,100,,,, I ,62.5,25,12.5,,I
PRIMARIA,14DPB0022K,COMPLETO,35,82.9,94.3,SI,SI,NO,NO,100,,,, I ,90.9,9.1,,,I
PRIMARIA,14DPB0023J,COMPLETO,14,92.9,92.9,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0024I,COMPLETO,26,92.3,92.3,SI,SI,NO,NO,100,,,, I ,95.8,4.2,,,I
PRIMARIA,14DPB0025H,MATUTINO,3,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0026G,MATUTINO,10,100,100,SI,SI,NO,NO,70,30,,, I ,70,30,,,I
PRIMARIA,14DPB0028E,MATUTINO,4,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0029D,MATUTINO,2,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0030T,MATUTINO,6,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0031S,COMPLETO,9,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0032R,MATUTINO,1,100,100,SI,SI,NO,NO,100,,,, I ,,,100,,III
PRIMARIA,14DPB0035O,MATUTINO,3,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0037M,MATUTINO,7,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0038L,COMPLETO,7,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0039K,MATUTINO,7,85.7,85.7,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0040Z,MATUTINO,11,100,100,SI,SI,SI,NO,100,,,, I ,90.9,9.1,,,I
PRIMARIA,14DPB0041Z,MATUTINO,17,82.4,76.5,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0043X,MATUTINO,3,66.7,66.7,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0045V,MATUTINO,2,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0046U,MATUTINO,9,88.9,88.9,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0047T,COMPLETO,13,92.3,92.3,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0048S,COMPLETO,15,100,93.3,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0049R,COMPLETO,18,100,100,SI,SI,SI,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0050G,COMPLETO,20,100,100,SI,SI,NO,NO,100,,,, I ,95,5,,,I
PRIMARIA,14DPB0051F,COMPLETO,16,100,93.8,SI,SI,SI,SI,100,,,, I ,100,,,,I
PRIMARIA,14DPB0052E,COMPLETO,19,94.7,94.7,SI,SI,NO,NO,100,,,, I ,94.4,5.6,,,I
PRIMARIA,14DPB0053D,MATUTINO,6,83.3,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0054C,MATUTINO,7,100,100,SI,SI,NO,NO,85.7,14.3,,, I ,100,,,,I
PRIMARIA,14DPB0055B,COMPLETO,19,100,100,SI,SI,NO,NO,52.6,42.1,5.3,, I ,36.8,42.1,10.5,10.5,II
PRIMARIA,14DPB0057Z,MATUTINO,5,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0058Z,COMPLETO,24,100,100,SI,SI,NO,NO,91.7,8.3,,, I ,91.7,8.3,,,I
PRIMARIA,14DPB0059Y,MATUTINO,7,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0060N,MATUTINO,3,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0061M,MATUTINO,4,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0062L,MATUTINO,5,100,100,SI,SI,NO,NO,80,20,,, I ,80,20,,,I
PRIMARIA,14DPB0064J,COMPLETO,14,92.9,92.9,SI,SI,NO,NO,100,,,, I ,92.3,7.7,,,I
PRIMARIA,14DPB0065I,MATUTINO,7,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0067G,MATUTINO,4,100,100,SI,SI,NO,NO,100,,,, I ,75,25,,,I
PRIMARIA,14DPB0068F,COMPLETO,30,96.7,96.7,SI,SI,NO,NO,41.4,41.4,13.8,3.4, I ,41.4,17.2,24.1,17.2,I
PRIMARIA,14DPB0069E,MATUTINO,3,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0070U,MATUTINO,6,100,100,SI,SI,NO,NO,100,,,, I ,83.3,16.7,,,I
PRIMARIA,14DPB0071T,COMPLETO,9,100,100,SI,SI,NO,NO,77.8,22.2,,, I ,88.9,11.1,,,I
PRIMARIA,14DPB0072S,MATUTINO,5,100,100,SI,SI,NO,NO,60,40,,, I ,,,20,80,IV
PRIMARIA,14DPB0074Q,MATUTINO,3,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0075P,MATUTINO,2,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0076O,MATUTINO,6,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0077N,MATUTINO,8,100,100,SI,SI,NO,NO,87.5,12.5,,, I ,25,50,25,,II
PRIMARIA,14DPB0078M,MATUTINO,6,100,100,SI,SI,NO,NO,100,,,, I ,33.3,50,16.7,,II
PRIMARIA,14DPB0079L,MATUTINO,6,100,100,SI,SI,NO,NO,100,,,, I ,33.3,33.3,33.3,,I
PRIMARIA,14DPB0080A,MATUTINO,5,100,100,SI,SI,NO,NO,100,,,, I ,20,20,60,,III
PRIMARIA,14DPB0081Z,COMPLETO,14,100,100,SI,SI,NO,NO,71.4,28.6,,, I ,50,14.3,28.6,7.1,I
PRIMARIA,14DPB0082Z,MATUTINO,2,50,50,NO,NO,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0083Y,MATUTINO,3,100,100,SI,SI,NO,NO,66.7,33.3,,, I ,100,,,,I
PRIMARIA,14DPB0084X,MATUTINO,8,100,100,SI,SI,NO,NO,62.5,37.5,,, I ,87.5,12.5,,,I
PRIMARIA,14DPB0086V,MATUTINO,4,75,75,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0087U,MATUTINO,2,100,100,SI,SI,NO,NO,50,50,,, I ,100,,,,I
PRIMARIA,14DPB0088T,MATUTINO,3,100,100,SI,SI,NO,NO,66.7,33.3,,, I ,100,,,,I
PRIMARIA,14DPB0091G,MATUTINO,2,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0095C,MATUTINO,6,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0096B,MATUTINO,5,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0097A,MATUTINO,7,100,100,SI,SI,NO,NO,100,,,, I ,57.1,28.6,14.3,,I
PRIMARIA,14DPB0098Z,COMPLETO,7,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0100Y,MATUTINO,7,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0101X,MATUTINO,9,88.9,88.9,SI,SI,NO,NO,87.5,12.5,,, I ,87.5,12.5,,,I
PRIMARIA,14DPB0103V,MATUTINO,6,100,100,SI,SI,NO,NO,100,,,, I ,83.3,16.7,,,I
PRIMARIA,14DPB0104U,MATUTINO,2,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0105T,MATUTINO,5,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0106S,MATUTINO,3,66.7,66.7,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0107R,MATUTINO,6,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0108Q,MATUTINO,1,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPB0109P,MATUTINO,5,100,100,SI,SI,NO,NO,100,,,, I ,80,20,,,I
PRIMARIA,14DPB0110E,MATUTINO,6,100,100,SI,SI,NO,NO,100,,,, I ,83.3,16.7,,,I
PRIMARIA,14DPB0027F,MATUTINO,2,,100,NO,SI,NO,NO,,,,,,100,,,,I
PRIMARIA,14DPR0002Y,VESPERTINO,14,85.7,78.6,SI,SI,NO,NO,66.7,16.7,16.7,, I ,72.7,18.2,,9.1,I
PRIMARIA,14DPR0004W,VESPERTINO,26,84.6,84.6,SI,SI,NO,NO,86.4,13.6,,, I ,68.2,22.7,9.1,,I
PRIMARIA,14DPR0005V,MATUTINO,27,85.2,85.2,SI,SI,NO,NO,73.9,17.4,8.7,, I ,52.2,30.4,17.4,,I
PRIMARIA,14DPR0006U,VESPERTINO,6,50,50,NO,NO,NO,NO,66.7,33.3,,, I ,66.7,33.3,,,I
PRIMARIA,14DPR0007T,VESPERTINO,35,94.3,100,SI,SI,NO,NO,60.6,33.3,3,3, I ,65.7,20,11.4,2.9,I
PRIMARIA,14DPR0008S,VESPERTINO,31,80.6,80.6,SI,SI,NO,NO,76,16,4,4, I ,76,12,8,4,I
PRIMARIA,14DPR0011F,MATUTINO,7,85.7,100,SI,SI,NO,NO,83.3,16.7,,, I ,100,,,,I
PRIMARIA,14DPR0013D,VESPERTINO,70,95.7,94.3,SI,SI,NO,NO,70.1,23.9,3,3, I ,75.8,10.6,12.1,1.5,I
PRIMARIA,14DPR0016A,VESPERTINO,6,100,100,SI,SI,NO,NO,100,,,, I ,83.3,16.7,,,I
PRIMARIA,14DPR0017Z,MATUTINO,13,92.3,92.3,SI,SI,NO,NO,50,25,16.7,8.3, I ,50,,25,25,I
PRIMARIA,14DPR0018Z,MATUTINO,35,97.1,94.3,SI,SI,NO,NO,52.9,38.2,8.8,, I ,45.5,39.4,9.1,6.1,I
PRIMARIA,14DPR0020N,VESPERTINO,35,100,97.1,SI,SI,SI,SI,91.4,5.7,2.9,, I ,85.3,11.8,2.9,,I
PRIMARIA,14DPR0022L,VESPERTINO,4,75,75,SI,SI,NO,NO,100,,,, I ,66.7,33.3,,,I
PRIMARIA,14DPR0023K,VESPERTINO,25,96,96,SI,SI,NO,NO,62.5,29.2,8.3,, I ,54.2,29.2,16.7,,I
PRIMARIA,14DPR0024J,VESPERTINO,70,95.7,91.4,SI,SI,NO,NO,61.2,20.9,14.9,3, I ,21.9,45.3,23.4,9.4,II
PRIMARIA,14DPR0025I,VESPERTINO,70,100,94.3,SI,SI,NO,SI,64.3,28.6,4.3,2.9, I ,42.4,28.8,13.6,15.2,I
PRIMARIA,14DPR0026H,COMPLETO,2,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR0027G,MATUTINO,1,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR0028F,VESPERTINO,34,70.6,76.5,SI,SI,SI,SI,79.2,12.5,8.3,, I ,73.1,26.9,,,I
PRIMARIA,14DPR0030U,MATUTINO,1,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR0031T,COMPLETO,2,100,100,SI,SI,NO,NO,100,,,, I ,50,50,,,I
PRIMARIA,14DPR0032S,VESPERTINO,35,97.1,100,SI,SI,NO,NO,64.7,14.7,20.6,, I ,42.9,34.3,17.1,5.7,I
PRIMARIA,14DPR0033R,VESPERTINO,25,72,76,SI,SI,NO,NO,77.8,11.1,11.1,, I ,78.9,10.5,10.5,,I
PRIMARIA,14DPR0034Q,MATUTINO,35,100,100,SI,SI,NO,NO,65.7,28.6,5.7,, I ,85.7,14.3,,,I
PRIMARIA,14DPR0040A,MATUTINO,9,77.8,88.9,SI,SI,NO,NO,85.7,14.3,,, I ,87.5,12.5,,,I
PRIMARIA,14DPR0041Z,MATUTINO,18,66.7,83.3,SI,SI,NO,NO,50,41.7,8.3,, I ,60,20,20,,I
PRIMARIA,14DPR0042Z,VESPERTINO,4,50,50,NO,NO,NO,NO,50,50,,, I ,50,50,,,I
PRIMARIA,14DPR0043Y,VESPERTINO,31,96.8,96.8,SI,SI,SI,NO,93.3,6.7,,, I ,83.3,6.7,10,,I
PRIMARIA,14DPR0046V,MATUTINO,3,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR0047U,VESPERTINO,8,87.5,87.5,SI,SI,NO,NO,71.4,14.3,14.3,, I ,28.6,28.6,28.6,14.3,I
PRIMARIA,14DPR0048T,VESPERTINO,8,100,100,SI,SI,NO,NO,62.5,12.5,25,, I ,25,,37.5,37.5,III
PRIMARIA,14DPR0051G,VESPERTINO,13,84.6,84.6,SI,SI,NO,NO,90.9,,9.1,, I ,72.7,18.2,,9.1,I
PRIMARIA,14DPR0054D,MATUTINO,1,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR0056B,MATUTINO,35,77.1,80,SI,SI,NO,NO,48.1,40.7,11.1,, I ,71.4,17.9,3.6,7.1,I
PRIMARIA,14DPR0060O,MATUTINO,70,88.6,88.6,SI,SI,NO,NO,58.1,29,12.9,, I ,74.2,14.5,8.1,3.2,I
PRIMARIA,14DPR0062M,VESPERTINO,12,91.7,91.7,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR0063L,MATUTINO,5,100,100,SI,SI,NO,NO,80,20,,, I ,80,20,,,I
PRIMARIA,14DPR0064K,VESPERTINO,2,100,100,SI,SI,NO,NO,100,,,, I ,50,,50,,I
PRIMARIA,14DPR0066I,VESPERTINO,5,80,80,SI,SI,NO,NO,100,,,, I ,75,25,,,I
PRIMARIA,14DPR0067H,MATUTINO,35,88.6,91.4,SI,SI,NO,NO,48.4,29,19.4,3.2, I ,62.5,18.8,12.5,6.3,I
PRIMARIA,14DPR0070V,VESPERTINO,7,100,100,SI,SI,NO,NO,42.9,28.6,28.6,, I ,42.9,14.3,42.9,,I
PRIMARIA,14DPR0071U,VESPERTINO,35,97.1,94.3,SI,SI,NO,NO,67.6,29.4,2.9,, I ,81.8,12.1,6.1,,I
PRIMARIA,14DPR0072T,VESPERTINO,29,86.2,86.2,SI,SI,NO,NO,48,40,12,, I ,52,12,24,12,I
PRIMARIA,14DPR0073S,VESPERTINO,5,80,80,SI,SI,NO,NO,75,25,,, I ,50,25,25,,I
PRIMARIA,14DPR0080B,MATUTINO,1,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR0081A,VESPERTINO,17,82.4,88.2,SI,SI,SI,NO,50,35.7,14.3,, I ,40,20,20,20,I
PRIMARIA,14DPR0083Z,MATUTINO,31,96.8,90.3,SI,SI,NO,NO,43.3,33.3,20,3.3, I ,42.9,39.3,3.6,14.3,I
PRIMARIA,14DPR0084Y,VESPERTINO,70,90,84.3,SI,SI,NO,NO,47.6,44.4,6.3,1.6, I ,66.1,16.9,11.9,5.1,I
PRIMARIA,14DPR0085X,MATUTINO,70,100,100,SI,SI,NO,NO,57.1,34.3,7.1,1.4, I ,81.4,11.4,5.7,1.4,I
PRIMARIA,14DPR0086W,VESPERTINO,35,100,100,SI,SI,NO,NO,60,34.3,5.7,, I ,57.1,17.1,17.1,8.6,I
PRIMARIA,14DPR0087V,MATUTINO,70,98.6,100,SI,SI,NO,NO,47.8,34.8,15.9,1.4, I ,58.6,24.3,14.3,2.9,I
PRIMARIA,14DPR0091H,VESPERTINO,68,73.5,73.5,SI,SI,NO,NO,64,26,10,, I ,58,28,12,2,I
PRIMARIA,14DPR0092G,VESPERTINO,9,100,100,SI,SI,NO,NO,77.8,22.2,,, I ,100,,,,I
PRIMARIA,14DPR0094E,VESPERTINO,35,97.1,97.1,SI,SI,NO,NO,50,41.2,5.9,2.9, I ,64.7,20.6,11.8,2.9,I
PRIMARIA,14DPR0095D,VESPERTINO,35,91.4,100,SI,SI,NO,NO,40.6,28.1,18.8,12.5, I ,60,11.4,14.3,14.3,I
PRIMARIA,14DPR0097B,VESPERTINO,10,100,100,SI,SI,NO,NO,80,20,,, I ,60,30,,10,I
PRIMARIA,14DPR0098A,MATUTINO,5,80,100,SI,SI,NO,NO,100,,,, I ,80,20,,,I
PRIMARIA,14DPR0100Z,VESPERTINO,25,80,88,SI,SI,NO,NO,45,20,25,10, I ,45.5,22.7,9.1,22.7,I
PRIMARIA,14DPR0101Y,MATUTINO,3,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR0103W,VESPERTINO,13,76.9,76.9,SI,SI,NO,NO,70,,30,, I ,80,,10,10,I
PRIMARIA,14DPR0104V,MATUTINO,70,80,87.1,SI,SI,NO,NO,48.2,37.5,10.7,3.6, I ,52.5,23,18,6.6,I
PRIMARIA,14DPR0107S,MATUTINO,7,100,100,SI,SI,NO,NO,57.1,42.9,,, I ,85.7,14.3,,,I
PRIMARIA,14DPR0109Q,VESPERTINO,7,85.7,100,SI,SI,NO,NO,83.3,16.7,,, I ,100,,,,I
PRIMARIA,14DPR0110F,VESPERTINO,5,80,80,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR0112D,VESPERTINO,15,86.7,86.7,SI,SI,NO,NO,53.8,38.5,7.7,, I ,53.8,23.1,15.4,7.7,I
PRIMARIA,14DPR0113C,VESPERTINO,35,85.7,91.4,SI,SI,NO,NO,53.3,30,10,6.7, I ,71.9,18.8,3.1,6.3,I
PRIMARIA,14DPR0114B,VESPERTINO,70,82.9,80,SI,SI,NO,NO,86.2,8.6,5.2,, I ,83.9,14.3,1.8,,I
PRIMARIA,14DPR0115A,VESPERTINO,29,72.4,79.3,SI,SI,NO,NO,81,19,,, I ,95.7,,4.3,,I
PRIMARIA,14DPR0116Z,MATUTINO,35,100,100,SI,SI,NO,NO,45.7,34.3,17.1,2.9, I ,60,8.6,25.7,5.7,I
PRIMARIA,14DPR0117Z,MATUTINO,35,88.6,91.4,SI,SI,NO,NO,61.3,22.6,12.9,3.2, I ,75,6.3,15.6,3.1,I
PRIMARIA,14DPR0119X,VESPERTINO,27,100,100,SI,SI,NO,NO,85.2,11.1,3.7,, I ,74.1,14.8,7.4,3.7,I
PRIMARIA,14DPR0121L,MATUTINO,70,100,98.6,SI,SI,NO,NO,40,25.7,28.6,5.7, I ,52.2,29,15.9,2.9,I
PRIMARIA,14DPR0122K,MATUTINO,11,90.9,90.9,SI,SI,NO,NO,70,30,,, I ,70,30,,,I
PRIMARIA,14DPR0123J,MATUTINO,35,100,100,SI,SI,NO,SI,60,37.1,2.9,, I ,82.9,17.1,,,I
PRIMARIA,14DPR0124I,VESPERTINO,35,77.1,74.3,NO,NO,NO,NO,66.7,29.6,3.7,, I ,61.5,23.1,11.5,3.8,I
PRIMARIA,14DPR0126G,VESPERTINO,35,88.6,94.3,SI,SI,NO,NO,74.2,16.1,9.7,, I ,78.8,9.1,12.1,,I
PRIMARIA,14DPR0127F,MATUTINO,35,91.4,100,SI,SI,NO,NO,81.3,18.8,,, I ,77.1,17.1,5.7,,I
PRIMARIA,14DPR0130T,MATUTINO,4,50,75,NO,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR0131S,VESPERTINO,35,100,100,SI,SI,NO,NO,62.9,28.6,5.7,2.9, I ,74.3,20,5.7,,I
PRIMARIA,14DPR0132R,MATUTINO,2,100,100,SI,SI,NO,NO,100,,,, I ,50,50,,,I
PRIMARIA,14DPR0133Q,MATUTINO,3,66.7,66.7,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR0135O,MATUTINO,26,92.3,88.5,SI,SI,NO,NO,58.3,29.2,4.2,8.3, I ,69.6,17.4,4.3,8.7,I
PRIMARIA,14DPR0136N,COMPLETO,5,80,80,SI,SI,NO,NO,50,50,,, I ,25,75,,,II
PRIMARIA,14DPR0138L,MATUTINO,21,81,85.7,SI,SI,NO,NO,47.1,47.1,5.9,, I ,55.6,16.7,22.2,5.6,I
PRIMARIA,14DPR0139K,VESPERTINO,35,100,88.6,SI,SI,NO,NO,57.1,42.9,,, I ,74.2,22.6,3.2,,I
PRIMARIA,14DPR0140Z,MATUTINO,3,100,100,SI,SI,NO,NO,66.7,33.3,,, I ,100,,,,I
PRIMARIA,14DPR0142Y,VESPERTINO,12,83.3,83.3,SI,SI,NO,NO,50,30,10,10, I ,50,30,,20,I
PRIMARIA,14DPR0143X,MATUTINO,35,100,97.1,SI,SI,NO,NO,57.1,34.3,8.6,, I ,73.5,20.6,5.9,,I
PRIMARIA,14DPR0144W,VESPERTINO,3,100,100,SI,SI,NO,NO,33.3,33.3,,33.3, I ,33.3,33.3,,33.3,I
PRIMARIA,14DPR0146U,VESPERTINO,2,100,100,SI,SI,NO,NO,100,,,, I ,50,50,,,I
PRIMARIA,14DPR0147T,MATUTINO,2,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR0148S,VESPERTINO,2,100,100,SI,SI,NO,NO,50,,50,, I ,100,,,,I
PRIMARIA,14DPR0151F,MATUTINO,35,100,97.1,SI,SI,NO,NO,51.4,37.1,11.4,, I ,85.3,5.9,8.8,,I
PRIMARIA,14DPR0152E,MATUTINO,35,100,100,SI,SI,NO,NO,60,31.4,2.9,5.7, I ,62.9,25.7,8.6,2.9,I
PRIMARIA,14DPR0154C,MATUTINO,70,97.1,94.3,SI,SI,NO,NO,64.7,25,8.8,1.5, I ,77.3,12.1,7.6,3,I
PRIMARIA,14DPR0155B,VESPERTINO,35,100,100,SI,SI,SI,SI,40,37.1,22.9,, I ,57.1,14.3,22.9,5.7,I
PRIMARIA,14DPR0157Z,VESPERTINO,29,96.6,96.6,SI,SI,SI,NO,50,39.3,10.7,, I ,50,25,21.4,3.6,I
PRIMARIA,14DPR0158Z,VESPERTINO,19,84.2,84.2,SI,SI,SI,NO,56.3,37.5,6.3,, I ,68.8,25,6.3,,I
PRIMARIA,14DPR0160N,VESPERTINO,1,100,100,SI,SI,NO,NO,100,,,, I ,100,,,,I
PRIMARIA,14DPR0161M,MATUTINO,28,92.9,92.9,SI,SI,NO,NO,69.2,23.1,7.7,, I ,76.9,15.4,7.7,,I
PRIMARIA,14DPR0162L,VESPERTINO,17,94.1,94.1,SI,SI,NO,NO,93.8,6.3,,, I ,12.5,56.3,25,6.3,II
PRIMARIA,14DPR0163K,VESPERTINO,20,85,85,SI,SI,NO,NO,70.6,17.6,11.8,, I ,41.2,29.4,29.4,,I
PRIMARIA,14DPR0164J,VESPERTINO,30,100,96.7,SI,SI,NO,SI,56.7,26.7,16.7,, I ,41.4,10.3,31,17.2,I
PRIMARIA,14DPR0165I,VESPERTINO,15,93.3,93.3,SI,SI,NO,NO,78.6,21.4,,, I ,57.1,21.4,21.4,,I
PRIMARIA,14DPR0167G,VESPERTINO,35,94.3,91.4,SI,SI,SI,NO,54.5,33.3,9.1,3, I ,46.9,18.8,21.9,12.5,I
PRIMARIA,14DPR0168F,VESPERTINO,7,85.7,71.4,SI,SI,NO,NO,83.3,16.7,,, I ,100,,,,I
PRIMARIA,14DPR0169E,MATUTINO,2,100,100,SI,SI,NO,NO,50,50,,, I ,50,50,,,I
PRIMARIA,14DPR0171T,MATUTINO,70,91.4,92.9,SI,SI,NO,NO,70.3,23.4,6.3,, I ,72.3,21.5,6.2,,I
PRIMARIA,14DPR0172S,VESPERTINO,32,84.4,84.4,SI,SI,NO,NO,85.2,14.8,,, I ,70.4,29.6,,,I
